"name","artists","album","release_date"
"If It Ain’t Me                                    ","Dua Lipa                                          ","Future Nostalgia (The Moonlight Edition)          ","2021-02-11"
"That Kind Of Woman                                ","Dua Lipa                                          ","Future Nostalgia (The Moonlight Edition)          ","2021-02-11"
"Levitating                                        ","Dua Lipa                                          ","Future Nostalgia                                  ","2020-03-27"
"Love Again                                        ","Dua Lipa                                          ","Future Nostalgia (The Moonlight Edition)          ","2021-02-11"
"Break My Heart - Moon Boots Remix                 ","""Dua Lipa                                         ","Moon Boots""                                       ",
"Love Again (Horse Meat Disco Remix)               ","""Dua Lipa                                         ","Horse Meat Disco""                                 ",
"SUGAR (Remix) [feat. Dua Lipa]                    ","""BROCKHAMPTON                                     ","Dua Lipa""                                         ",
"We're Good - Dillon Francis Remix                 ","""Dua Lipa                                         ","Dillon Francis""                                   ",
"New Rules - SG Lewis Remix                        ","""Dua Lipa                                         ","SG Lewis""                                         ",
"Kiss and Make Up                                  ","""Dua Lipa                                         ","BLACKPINK""                                        ",
"Electricity (feat. Dua Lipa) - MK Remix           ","""Silk City                                        ","Dua Lipa                                          ",
"""Swan Song (From the Motion Picture """"Alita: Battl","""Dua Lipa                                         ","aboutagirl""                                       ",
"Scared to Be Lonely                               ","""Martin Garrix                                    ","Dua Lipa""                                         ",
"IDGAF - Initial Talk Remix                        ","""Dua Lipa                                         ","Initial Talk""                                     ",
"Don't Start Now - Live in LA Remix                ","Dua Lipa                                          ","Don't Start Now (Live in LA Remix)                ","2020-01-28"
"Hallucinate - Paul Woolford Remix                 ","""Dua Lipa                                         ","Paul Woolford""                                    ",
"Boys Will Be Boys                                 ","Dua Lipa                                          ","Future Nostalgia (The Moonlight Edition)          ","2021-02-11"
"Good In Bed                                       ","Dua Lipa                                          ","Future Nostalgia                                  ","2020-03-27"
"Begging                                           ","Dua Lipa                                          ","Dua Lipa (Complete Edition)                       ","2018-10-19"
"Kiss and Make Up (Remix) [Mixed]                  ","""Dua Lipa                                         ","The Blessed Madonna                               ",
"""Thinking 'Bout You - Live from Spotify           "," London""                                          ","Dua Lipa                                          ",
"Lost In Your Light (feat. Miguel)                 ","""Dua Lipa                                         ","Miguel""                                           ",
"Physical - Ofenbach Remix                         ","""Dua Lipa                                         ","Ofenbach""                                         ",
"Love Is Religion (The Blessed Madonna Remix) [Mixe","""Dua Lipa                                         ","The Blessed Madonna""                              ",
"Pretty Please (Masters at Work Remix)             ","""Dua Lipa                                         ","Masters At Work""                                  ",
"Demeanor (feat. Dua Lipa)                         ","""Pop Smoke                                        ","Dua Lipa""                                         ",
"Blow Your Mind (Mwah) - Night Moves Remix         ","""Dua Lipa                                         ","Night Moves""                                      ",
"Don't Start Now (Zach Witness Remix) [Malibu Merma","""Dua Lipa                                         ","Zach Witness""                                     ",
"Love Again - Imanbek Remix                        ","""Dua Lipa                                         ","Imanbek""                                          ",
"Good In Bed (Zach Witness & Gen Hoshino Remixes) [","""Dua Lipa                                         ","The Blessed Madonna                               ",
"Cold Heart - PS1 Remix                            ","""Elton John                                       ","Dua Lipa                                          ",
"Name                                              ","Artists                                           ","Album                                             ",
"Naatu Naatu                                       ","""Rahul Sipligunj                                  ","Kala Bhairava""                                    ",
"""Chamkeela Angeelesi (From """"Dasara"""")""           ","""Ram Miriyala                                     ","Dhee                                              ",
"Pillaa Raa                                        ","Anurag Kulkarni                                   ","Rx 100 (Original Motion Picture Soundtrack)       ","2018-01-01"
"""Gundellonaa (From """"Ori Devuda"""")""               ","""Anirudh Ravichander                              ","Leon James                                        ",
"Buttabomma                                        ","Armaan Malik                                      ","Ala Vaikunthapurramuloo                           ","2020-01-06"
"Oo Antava Oo Oo Antava                            ","Indravathi Chauhan                                ","Pushpa - The Rise                                 ","2021-12-10"
"Mastaaru Mastaaru                                 ","""G. V. Prakash                                    ","Shweta Mohan""                                     ",
"Pulsar Bike                                       ","Bheems Ceciroleo                                  ","Dhamaka (Original Motion Picture Soundtrack)      ","2023-01-07"
"""Kalaavathi (From """"Sarkaru Vaari Paata"""")""       ","""Sid Sriram                                       ","Thaman S""                                         ",
"Jinthaak Chithaka                                 ","""Bheems Ceciroleo                                 ","Mangli""                                           ",
"Tillu Anna DJ Pedithe                             ","Ram Miriyala                                      ","DJ Tillu                                          ","2022-01-06"
"Hoyna Hoyna                                       ","""Anirudh Ravichander                              ","Inno Genga""                                       ",
"Boss Party                                        ","""Devi Sri Prasad                                  ","Nakash Aziz                                       ",
"Life Of Ram                                       ","Pradeep Kumar                                     ","Jaanu                                             ","2020-01-21"
"Choosi Chudangane                                 ","""Anurag Kulkarni                                  ","Mahati Swara Sagar""                               ",
"Srivalli                                          ","""Devi Sri Prasad                                  ","Sid Sriram""                                       ",
"""Almost Padipoyindhe Pilla (From """"Das Ka Dhamki""""","""Leon James                                       ","Adithya RK                                        ",
"Emo Emo                                           ","Sid Sriram                                        ","Raahu (Original Motion Picture Soundtrack)        ","2020-02-18"
"Maate Vinadhuga                                   ","Sid Sriram                                        ","Taxiwaala                                         ","2018-10-26"
"Enno Ratrulosthayi Remix Song                     ","""S.P. Charan                                      ","Sameera Bharadwaj""                                ",
"Chitti                                            ","Ram Miriyala                                      ","Jathi Ratnalu                                     ","2021-03-07"
"""Naa Madhi (From """"Thiru"""")""                      ","""Dhanunjay Seepana                                ","Srinivasa Mouli                                   ",
"Ramuloo Ramulaa                                   ","""Anurag Kulkarni                                  ","Mangli""                                           ",
"Idhe Kadha Nee Katha                              ","Vijay Prakash                                     ","Maharshi                                          ","2019-05-04"
"Dosti                                             ","Hemachandra Vedala                                ","RRR                                               ","2022-04-16"
"""Inthandham (From """"Sita Ramam (Telugu)"""")""       ","""Vishal Chandrashekhar                            ","S.P. Charan""                                      ",
"Kanula Chatu Meghama                              ","""Kalyani Malik                                    ","Aabhas Joshi                                      ",
"Prema Vennela                                     ","Sudharshan Ashok                                  ","Chitralahari (Original Motion Picture Soundtrack) ","2019-04-08"
